name,kind,sidocode,sido,sigungucode,sigungu,dongcode,dong,jibuncode,jibun,jibunaddr,doro,doroaddr,gyundo,wido
쉐인,소매,11,서울특별시,11740,강동구,1174010800,성내동,1.17E+18,32,서울특별시 강동구 성내동 32-1번지 ,서울특별시 강동구 천호옛14길,"서울특별시 강동구 천호옛14길 20, (성내동)",127.1265328,37.53605376
시크릿벙커,음식,11,서울특별시,11215,광진구,1121510500,자양동,1.12E+18,7,서울특별시 광진구 자양동 7-7번지 ,서울특별시 광진구 아차산로,"서울특별시 광진구 아차산로 236, (자양동)",127.0693316,37.53997791
한국금융안전동부영업소,생활서비스,11,서울특별시,11740,강동구,1174010900,천호동,1.17E+18,338,서울특별시 강동구 천호동 338-23번지 ,서울특별시 강동구 구천면로,"서울특별시 강동구 구천면로 153, (천호동)",127.121945,37.54228208
숲,소매,11,서울특별시,11740,강동구,1174010900,천호동,1.17E+18,563,서울특별시 강동구 천호동 563번지 동아코아아파트 ,서울특별시 강동구 구천면로,"서울특별시 강동구 구천면로 189, (천호동, 동아코아아파트)",127.1260886,37.54115045
풀마트,소매,11,서울특별시,11200,성동구,1120010500,마장동,1.12E+18,478,서울특별시 성동구 마장동 478-38번지 ,서울특별시 성동구 고산자로,"서울특별시 성동구 고산자로 339-2, (마장동)",127.0373407,37.57001466
해커스패스닷컴,학문/교육,11,서울특별시,11680,강남구,1168010100,역삼동,1.17E+18,815,서울특별시 강남구 역삼동 815-4번지 ,서울특별시 강남구 강남대로,"서울특별시 강남구 강남대로 428, (역삼동)",127.026807,37.5008178
학사공인중개사,부동산,11,서울특별시,11710,송파구,1171010200,신천동,1.17E+18,17,서울특별시 송파구 신천동 17-6번지 미성아파트 ,서울특별시 송파구 올림픽로33길,"서울특별시 송파구 올림픽로33길 17, (신천동, 미성아파트)",127.1056011,37.51794805
수희고전의상실,소매,11,서울특별시,11320,도봉구,1132010700,창동,1.13E+18,810,서울특별시 도봉구 창동 810번지 신창 ,서울특별시 도봉구 덕릉로62길,"서울특별시 도봉구 덕릉로62길 13, (창동, 신창)",127.0410972,37.64073183
청호나이스,소매,11,서울특별시,11710,송파구,1171010700,가락동,1.17E+18,123,서울특별시 송파구 가락동 123번지 ,서울특별시 송파구 중대로,"서울특별시 송파구 중대로 150, (가락동)",127.1243705,37.4954901
피아이어학원,학문/교육,11,서울특별시,11650,서초구,1165010700,반포동,1.17E+18,50,서울특별시 서초구 반포동 50-12번지 ,서울특별시 서초구 서초중앙로31길,"서울특별시 서초구 서초중앙로31길 6-3, (반포동)",127.0112663,37.50004899
엘에스네트웍스서울지점,부동산,11,서울특별시,11650,서초구,1165010400,원지동,1.17E+18,377,서울특별시 서초구 원지동 377-3번지 ,서울특별시 서초구 원터길,"서울특별시 서초구 원터길 15, (원지동)",127.0567365,37.44382518
반도공인중개사사무소,부동산,11,서울특별시,11320,도봉구,1132010700,창동,1.13E+18,305,서울특별시 도봉구 창동 305번지 주공1단지 ,서울특별시 도봉구 해등로,"서울특별시 도봉구 해등로 113, (창동, 주공1단지)",127.0391414,37.65358268
명성사,소매,11,서울특별시,11350,노원구,1135010600,중계동,1.14E+18,505,서울특별시 노원구 중계동 505번지 ,서울특별시 노원구 섬밭로,"서울특별시 노원구 섬밭로 265, (중계동)",127.0638018,37.63913013
네일하우스,생활서비스,11,서울특별시,11440,마포구,1144012300,망원동,1.14E+18,432,서울특별시 마포구 망원동 432-42번지 ,서울특별시 마포구 방울내로,"서울특별시 마포구 방울내로 50, (망원동)",126.9010826,37.55909372
태림공인중개사사무소,부동산,11,서울특별시,11710,송파구,1171011200,오금동,1.17E+18,43,서울특별시 송파구 오금동 43번지 현대아파트 ,서울특별시 송파구 오금로35길,"서울특별시 송파구 오금로35길 17, (오금동, 현대아파트)",127.1273423,37.5063879
